,Name,Location
0,Oak Ray Flower Drum Restaurant,"38 Thurstan Road Colombo 03, Colombo 00300 Sri Lanka"
1,Isso,"2 Sulaiman Terrace Green Path, Colombo 00500 Sri Lanka"
2,Dolce Italia,"5 Skelton Road, Colombo 00400 Sri Lanka"
3,Calorie Counter Colombo 7,"59, Ward Place, Colombo Sri Lanka"
4,The Sizzle,"32 Walukarama Road, Colombo 00300 Sri Lanka"
5,Arabian Knights,"377 Galle Road, Kollupitiya Colombo 3 (Opposite Amana Bank), Colombo 01000 Sri Lanka"
6,Milk and Honey Cafe,"44a Horton Place, Colombo Sri Lanka"
7,The VoV (VoV7),"07 30/81a, Longdon Place, Colombo Malalasekara Mawatha,, Colombo 00700 Sri Lanka"
8,Michaelangelo Pizza,"530 Nawala Road Rajagiriya, Colombo 01100 Sri Lanka"
9,Tea Breeze,"GS4, Grand Stand Colombo Racecourse,  Reid Avanue, Colombo 00700 Sri Lanka"
10,Peach Valley,"Flower Rd, Colombo Sri Lanka"
11,London House of Coffee,"2B R.G. Senanayake Mawatha, Colombo Sri Lanka"
12,Paan Paan Cafe,"6B Alfred House Road, Colombo 00300 Sri Lanka"
13,Pebbles,"25 Galle Face Centre Road Colombo 3, Colombo Sri Lanka"
14,Okra Kitchen by Ravi & Sepali,"137 Sir James Pieris Mawatha Colombo City Center, Colombo 00200 Sri Lanka"
15,Mintage Restaurant and Pub,"154 Kynsey Road, Colombo 70000 Sri Lanka"
16,Light House Galley,"Chaithya Road, Colombo 00100 Sri Lanka"
17,TGI Friday's,"Canal Row Colombo Fort Echelon Square, Colombo 00100 Sri Lanka"
18,Cloud9 Rooftop Lounge,"Melbourne Avenue The Ocean Colombo, 40, Colombo 00400 Sri Lanka"
19,Choco Luv,"No 16 Flower Road, Colombo 00700 Sri Lanka"
20,"Singhalease Sports Club - Restautant, Bar and Cafe","07 35 Maitland Place, Colombo, Colombo 00700 Sri Lanka"
21,Flavors,"Lotus Road, Colombo Sri Lanka"
22,Playtrix Sports Bar and Cafe,"137 Sir James Pieris Mawatha Colombo City Centre Mall, Colombo 00200 Sri Lanka"
23,Zylan Luxury Villa,"No 115 Rosmead Place Colombo 07, Colombo Sri Lanka"
24,Indo Ceylon Cafe & Dosa King,"284 Galle Road, Colombo Sri Lanka"
25,Fazly's Halal Refreshment,"No 1 Vellons Passage, Colombo Sri Lanka"
26,Shiwu Chinese Restaurant,"590 Colombo - Galle Main Road Marino Mall, Colombo Sri Lanka"
27,Navayuga Indian Restaurant,"9 Abdul Caffoor Mawatha, Colombo Sri Lanka"
28,Spice Coast,"Marine Drive, Colombo Sri Lanka"
29,RAMEN HAMAKAZE Colombo,"91 Perahera Mawatha, Colombo 00002 Sri Lanka"
30,Sushi Bar,"115, Sir Chittampalam A.Gardiner Mawatha Cinnamon Lakeside Colombo, Colombo 2 Sri Lanka"
31,The Embazzy,"No. 76/1, Flower Road, Colombo Sri Lanka"
32,Crossroads  Café and Restaurant,"292 Nawala Road Nawala, Colombo Sri Lanka"
33,The Gardenia Coffee Shop,"30 Sir Mohamed Macan Markar Mawatha Ramada Colombo, Colombo 00300 Sri Lanka"
34,La Veranda,"55 Ananda Coomaraswamy Mawatha, Colombo 00700 Sri Lanka"
35,3Brothers Italian Bistro,"180 Park Road, Colombo 00500 Sri Lanka"
36,Fat Panda,"Sea Avenue 31 a 31 A, Colombo Sri Lanka"
37,TosakanthíS Rosat Paan,"20 De Fonseka Road, Colombo 00500 Sri Lanka"
