,Title,ReviewDate,Stay Date,comments,Restaurant_Name,Review_Sentiment
0,b'Highly recommended',"b'Reviewed September 14, 2020 '",b'Date of visit: September 2020',"[b'We went for Lunch. From very first their part of welcoming the customer and upto serving dishes, whole staff was very much friendly. When comes to beverages, food and desserts they all were amazing and reached upto the high end of taste. More calm and...feel free to dine in as the ambience was great. They have a special offer for main dishes giving 25% discount Mondays and Tuesdays during the month of September. Overall rating was excellent and we will visit for next time as well. (Tip:- Chicken pot pie dish was perfect, it is a main dish must try)More']",The Four Leafed Clover,POSITIVE
1,"b'Excellent food, great ambience'","b'Reviewed September 5, 2020 '",b'Date of visit: September 2020',"[b'Great service and delicious food. We had the lamb shank with a creamy polenta and pork belly with pineapple jam and saffron rice. The meat was tender and service was amazing. When our order took a little longer than expected we were served with a...home made foccacia bread drizzled with olive oil on the house. The ambience is also very inviting with a signature chandelier made of bottles of booze really catching the eye. Great place for dinner with family, friends or even as a couple.More']",The Four Leafed Clover,POSITIVE
2,b'Excellent Food and Place',"b'Reviewed August 15, 2020 '",b'Date of visit: August 2020',"[b'As I went, there were enough parking space, the staff was very friendly and helpful, ambience is soo soothing and nice. And the Food is amazing!\nEven the chef came to meet in person to ask about the food. Very Good Place (even for couples,...family outing, etc)More']",The Four Leafed Clover,POSITIVE
3,b'Good Food and Ambience\n\n Food',"b'Reviewed February 9, 2020 '",b'Date of visit: February 2020',[b'Good Food and Ambience\n\n Food and ambience was great will definitely return - the music and decor was also just right !'],The Four Leafed Clover,POSITIVE
4,b'Loved everything about The Four Leafed Clover',"b'Reviewed January 17, 2020 '",b'Date of visit: January 2020',"[b""Excellent quiet and clean place for a relaxed hangout. The Four Leafed Clover is decorated uniquely to represent Irish ways. You can see The Beatles on every wall! The interior appearance is absolutely magnificent! Just take a peek at the photos.\n\nThe food and the...prices are great as well. I had sort of a full course meal.\n- Irish Chicken Soup\n- The Signature Chicken Dish\n- Hot Chocolate Drink\n- Irish Fruit Strudel\n\nMy self and 5 other friends of mine went there for a bit of a hangout. We 1st went to the roof top and then came inside since the temperature was a bit too high outside. \nInside AC was also a little low. Other than that, there's absolutely no complaints.\n\nThe food were all absolutely delicious! The service was pretty great too. I will definitely visit this place much more often.More""]",The Four Leafed Clover,POSITIVE
5,b'Pork',"b'Reviewed September 17, 2019 '",b'Date of visit: September 2019',[b'The ambiance excellent. The service also excellent. There is parking. The Pepper  Pork excellent. They have take away.'],The Four Leafed Clover,POSITIVE
6,b'Good place to hang out with cousins and friends',"b'Reviewed September 3, 2019 '",b'Date of visit: August 2019',[b'The atmosphere is good. The food was also good. It was a restaurant with BYOB. But could purchase beer at the restaurant. \nShould try the Pork Paan Kotthu'],The Four Leafed Clover,POSITIVE
7,b'Good food & drinks worth the bucks you pay and a brilliant service!',"b'Reviewed August 16, 2019 '",b'Date of visit: August 2019',"[b'Although this restaurant is meat central,try their local favorite range,specially their phenomenal ""roast paan kotthu"" one of the best I\'ve ever tried and their drinks are really good too, I would recommend the ""citrus cooler"" to anyone with no doubts.  \n11/10 for their brilliant service!']",The Four Leafed Clover,POSITIVE
8,b'Dinner with friends',"b'Reviewed July 20, 2019 '",b'Date of visit: July 2019',"[b'Had heard about the place and decided to try the place with some friends. \nStarting with the place, the infrastructure is excellent with vert tastefully done interiors and layout. \nThe sevice, starting from the welcome and being shown to seat was very warm and professional....The meals were of a very high standard. \nExcellent overall experience and recommend wholeheartedly. Looks good for functions as well and was happy to hear that its on Uber eats.More']",The Four Leafed Clover,POSITIVE
9,b'No Value for money',"b'Reviewed July 16, 2019 '",b'Date of visit: July 2019',[b'A group if us visited for drinks and dinner . This is beautiful place that has an effect of a pub as well as a restaurant . There was nice music too. Staff was very generous . Has ample parking and on the main road....But the food was expensive compared to similer restaurant . We orderd two main meals (chicken) the portion was not adequate for the price. Eventhough the presentation was good the taste was nothing exceptional .\n\nThey also had very limited amount of alchol. \n\nFeel they have got the concept of fine dining and pub mixed upMore'],The Four Leafed Clover,NEGATIVE
