Name,Negative_score,Positive_score
Curry Leaf,1.1420467947521627e-06,0.9999988579532054
Forty Seven Spice,0.0011861955563438307,0.9988138044436562
Life's Good Kitchen,0.0017306801706994245,0.9982693198293007
"The Ocean, The Kingsbury",0.001957048010538246,0.9980429519894617
Yue Chuan,0.0023748740892168343,0.9976251259107831
Sapphyr Lounge,0.003232547163878374,0.9967674528361214
Shang Palace,0.003920406704686588,0.9960795932953135
Shisha Luv,0.005071647582535447,0.9949283524174646
Kings Steakbar,0.005665135161584964,0.994334864838415
NR Bakers & Cafe,0.005828886707324282,0.9941711132926757
Cafe Blanca,0.005958633342861337,0.9940413666571388
David's Dangerously Delicious Char Siu,0.005970587278975428,0.9940294127210245
Kitchen3576 FoodTruck,0.006564270890393576,0.9934357291096063
Lagoon,0.0065925860688581485,0.9934074139311418
Kaffeine by REPUBLK,0.007123044299522073,0.9928769557004778
Hancook kitchen,0.0074107404533785394,0.9925892595466215
Tribe Cafe,0.008587131364341749,0.9914128686356583
Long Feng - Cinnamon Lakeside,0.008777517687382422,0.9912224823126176
Coffee Club,0.008863238119686269,0.9911367618803136
Cheers Pub,0.009271507931890332,0.9907284920681096
Nuga Gama,0.009332847060223474,0.9906671529397764
Anu Bambu Restaurant,0.009750865662320722,0.9902491343376791
Kobe At The Edge,0.009760153902173071,0.9902398460978269
Lan Tao Cafe & Fusion Restaurant,0.00976488056758398,0.9902351194324162
Tintagel Colombo - Paradise Road,0.009875046750170952,0.9901249532498291
Honey Beach Club,0.010163151453919893,0.9898368485460802
King of the Mambo,0.010335886665754194,0.9896641133342458
Il Ponte,0.010427360614083983,0.9895726393859162
"Harbour Court, The Kingsbury",0.010568317862828299,0.9894316821371717
Cafe Rafaella,0.011060951928230612,0.9889390480717694
Tosakanth�S Rosat Paan,0.011315025742659078,0.988684974257341
Capital Bar & Grill,0.01139718429048559,0.9886028157095144
Mintaka Restaurant,0.012043713521154832,0.987956286478845
Street Meet,0.012436313575510975,0.987563686424489
The Lagoon,0.013205398922498505,0.9867946010775015
L.A.B,0.013336463107516443,0.9866635368924837
Coffee & Bread on 27th,0.013480032393156538,0.9865199676068436
Ramen + Izakaya Makotoya,0.013739411787344943,0.9862605882126552
Kava Island Bar,0.013850144650593482,0.9861498553494064
BASICO Bar Lounge,0.014116878431044514,0.9858831215689554
Panorama Restaurant,0.014273029122426253,0.9857269708775735
Health House,0.014387047503834429,0.9856129524961655
Beruwala Eating House,0.014489085988014615,0.9855109140119853
The London Grill,0.01508308423395988,0.9849169157660402
Revolution Colombo,0.015970432417905394,0.9840295675820945
My Dining,0.0167204223389291,0.9832795776610709
Ports of Call,0.016758898770231602,0.9832411012297685
Pizza Hut,0.016779770190515676,0.9832202298094844
Al Maas,0.016797226550823188,0.9832027734491767
FLOW,0.017215145848051065,0.982784854151949
Culinary Craft Cafe at Villa Raha,0.017429342771637418,0.9825706572283625
Breeze Bar,0.01754145407885157,0.9824585459211486
Arthur's Pizzeria,0.017862561171203866,0.9821374388287962
Golden Dragon,0.01793187821155347,0.9820681217884465
Sea Fish Restaurant,0.017932012111996937,0.982067987888003
The Embazzy,0.01916907619671359,0.9808309238032862
Graze Kitchen,0.019214986095893845,0.9807850139041061
Ramen Misoya Colombo,0.019634678486104076,0.980365321513896
Mama Louies Sooriya Village,0.020591709612404665,0.9794082903875954
Caf-Island,0.02082569426364998,0.9791743057363502
Ask For Fern,0.02143835170171274,0.9785616482982873
Beach Wadiya,0.021713540705159656,0.9782864592948404
Culinary Ceylon,0.021743931737392176,0.9782560682626077
Plus Nine Four,0.021896304045080323,0.9781036959549196
Thai Cuisine Boulevard,0.022217167092407963,0.9777828329075922
Waves Bar & Restaurant,0.022389155568110167,0.9776108444318898
The Brick Lane Cookie Company,0.0229782708712146,0.9770217291287855
The Manchester,0.02322266235958156,0.9767773376404184
IL Cielo,0.023608406924848942,0.976391593075151
Bombay Sweet Mahal,0.024545136927166252,0.9754548630728337
Elevate Restaurant & Bar,0.024695729038419274,0.9753042709615807
Pebbles,0.02501137462297758,0.9749886253770225
Tides Restaurant,0.02514342314909846,0.9748565768509014
Breeze Barracuda,0.025383672308361173,0.974616327691639
Lattice Lounge,0.028104367728434256,0.9718956322715657
Alhambra,0.028431576228714322,0.9715684237712857
Yarl Hotel,0.02876058539398278,0.9712394146060171
Indian Summer Colombo,0.02877379776241689,0.971226202237583
Hotel Mayura Restaurant,0.029254631711190325,0.9707453682888096
Baked - Dessert & Coffee House,0.029294433811700084,0.9707055661883
Cafe Fort,0.03020624999360868,0.9697937500063913
Black Pepper,0.030250493982134648,0.9697495060178655
AllStar Sports Lounge,0.030452236334186873,0.9695477636658132
Baguette French Bakery & Cafe,0.030550886214971717,0.9694491137850283
Cloud Red,0.031461351018370526,0.9685386489816293
Tao,0.03246689478415861,0.9675331052158416
Chutneys At Cinnamon Grand Colombo,0.03251141419205129,0.9674885858079489
The Pizza Bakery - Bar & Eatery,0.0325546296288123,0.9674453703711878
Pure Kitchen,0.032973042108412974,0.9670269578915871
Kiku Colombo,0.03333898821247722,0.9666610117875227
Loft Lounge Bar,0.034014784530754724,0.9659852154692453
Oak Ray Flower Drum Restaurant,0.03460950227081837,0.9653904977291816
Takeout Lanka,0.03518703354472552,0.9648129664552745
Cafe Japan,0.03639723784444106,0.963602762155559
Kaema Sutra,0.03779350963708159,0.9622064903629184
Playtrix Sports Bar and Cafe,0.038026646726577,0.961973353273423
Owsc,0.03862967122155513,0.9613703287784447
"Singhalease Sports Club - Restautant, Bar and Cafe",0.04024451224587196,0.9597554877541279
Fatty Patty,0.040248118079602255,0.9597518819203978
Kohinoor Restaurant,0.04073641715785684,0.9592635828421432
Far East,0.04113302851717399,0.958866971482826
668 Chinese Restaurant,0.041795035369479816,0.9582049646305202
Orient Club,0.044217656550439646,0.9557823434495604
Barefoot Garden Cafe,0.0454701127818277,0.9545298872181721
Zylan Luxury Villa,0.04821568950346263,0.9517843104965372
Baker's Choice Caf�,0.048324679213171004,0.951675320786829
Robata Grill and Lounge,0.04878174204427331,0.9512182579557267
Bubble Me Bubble Tea,0.04965173759411912,0.950348262405881
Mayura Hotel,0.05001870624757593,0.9499812937524241
Bbq Station,0.0514539053671032,0.9485460946328969
Praneetha Foods,0.05445336472205694,0.945546635277943
Calorie Counter Colombo 5,0.05486386095172255,0.9451361390482774
Sudarshan Veg,0.055273982716105716,0.9447260172838943
Ministry of Crab,0.055703023482031745,0.9442969765179683
Monsoon Colombo,0.055975644431179125,0.9440243555688209
Indo Ceylon Cafe & Dosa King,0.05646313280926285,0.9435368671907371
Barista,0.0580572320128862,0.9419427679871138
Chinese Delight,0.058257715162265494,0.9417422848377345
Flower Gate Chinese Restaurant,0.05863321449527603,0.9413667855047241
Bombay Sweet Meat Mart,0.05963468877984414,0.9403653112201559
Santai Colombo,0.06199105285214916,0.9380089471478508
Isso,0.06237262305465976,0.9376273769453404
Travellers' Bar,0.06658798759501541,0.9334120124049846
Ammas Tasty and Healthy Food,0.06997656936707775,0.9300234306329221
Ranbath,0.07016135548475214,0.9298386445152479
Mood Cafe & Bistro,0.07210895501680048,0.9278910449831995
Blue Field Tea Center,0.07286705895924354,0.9271329410407567
Dwaraka,0.07316978962798647,0.9268302103720136
Halo Diner,0.07367298572147589,0.9263270142785242
Juiceez,0.07369538396052258,0.9263046160394776
The Gardenia Coffee Shop,0.07464671653415231,0.9253532834658476
Moti Mahal,0.07918211721800597,0.920817882781994
Fazly's Halal Refreshment,0.08572720752408858,0.9142727924759114
The Bread Company,0.0866270938601997,0.9133729061398004
The Bibim,0.08743642560227405,0.912563574397726
Cafe993 Restaurant,0.09396393065315257,0.9060360693468474
Yue Chuen,0.09510564426656562,0.9048943557334344
Kyoto Mirai,0.09703069383791975,0.9029693061620803
CE LA VI Restaurant & Lounge,0.09818636641339315,0.9018136335866067
Flavoured at Cinnamon Red,0.09949085378959185,0.9005091462104081
Cafe Kumbuk,0.10013645282702477,0.8998635471729752
The VoV (VoV7),0.10072653215007366,0.8992734678499262
Chambers At Park Street Mews,0.10126351875578835,0.8987364812442115
Echo,0.10377402683022963,0.8962259731697703
The Central Perk,0.1051961873907662,0.8948038126092339
The Four Leafed Clover,0.10591727626567002,0.89408272373433
Suki's Wok,0.10593584293011582,0.8940641570698841
The Margarita Blue,0.10613726367319294,0.893862736326807
The Exchange Restaurant + Pub,0.10614615068535978,0.8938538493146402
Milk and Honey Cafe,0.10614985235130384,0.8938501476486962
Cafe Beverly,0.10682316800364136,0.8931768319963587
Giovanni's Presto Pizza,0.10850058282971053,0.8914994171702896
Culture Colombo,0.10981010170203379,0.8901898982979661
Fire and Ice Pizzeria,0.11073769975894251,0.8892623002410576
The Lion Pub,0.11110223620821107,0.888897763791789
The Avenue,0.1113027439020667,0.8886972560979334
Asylum Restaurant & Lounge Bar,0.11138962292393151,0.8886103770760686
Tea Avenue,0.11163933013233038,0.8883606698676696
Okra Kitchen by Ravi & Sepali,0.11310871812569272,0.8868912818743073
Food Studio at Colombo City Centre,0.1131398619304094,0.8868601380695906
Sukiya,0.11318820568517067,0.8868117943148294
Cafe Nuga,0.11386142857641834,0.8861385714235815
Stella Karaoke Lounge and Bar,0.11415517051397847,0.8858448294860214
Belmio Pizza,0.11420423904873142,0.8857957609512687
New Banana Leaf,0.11507911774900188,0.8849208822509983
Flamingo House,0.11556688587521739,0.8844331141247824
Colombo Swimming Club,0.11645038921319303,0.8835496107868069
Royal Thai - Cinnamon Lakeside,0.11666482497493255,0.8833351750250674
Makye Ame Chinese Restaurant,0.11673225665747884,0.8832677433425212
Arabian Knights,0.11673225665747884,0.8832677433425212
Cloud Cafe,0.11744437637400922,0.8825556236259906
ON14 Rooftop Bar,0.1175878023560288,0.8824121976439712
Spice Coast,0.11763080734985923,0.8823691926501407
Bowl'd,0.11866522789939762,0.8813347721006023
Cafe Bagatalle,0.11925437878946141,0.8807456212105386
Baillie Street Merchants,0.11957353994836199,0.8804264600516382
Agra,0.120776748160993,0.8792232518390068
Berlin Sky Lounge,0.12139682527909845,0.8786031747209014
Sugar Bistro & Wine Bar,0.12140079740956178,0.8785992025904383
The 1864,0.12220636751919182,0.8777936324808081
The Grove,0.12228233151816838,0.8777176684818315
Verandah Bistro & Bar at Hilton Colombo Residences,0.12249204259916832,0.8775079574008317
Flamingo Restaurant at Ceylon City Hotel,0.12252802979395265,0.8774719702060475
Chola Authentic Indian Restaurant,0.12265525712818004,0.87734474287182
Rocco�s,0.12336242017544745,0.8766375798245525
Tempura Shikisen,0.12357691797646715,0.8764230820235326
Sunlight Garden Chinese Seafood Restaurant,0.1246748121972816,0.8753251878027186
The Dining room at Cinnamon Lakeside Colombo,0.124802591341956,0.875197408658044
Momo's by Ruvi,0.12493649596381921,0.8750635040361809
