Name,Negative_score,Positive_score
Cafe993 Restaurant,0.00035852438,0.9996414
Baked - Dessert & Coffee House,0.0003594967,0.9996405
Caterina Pizzeria,0.00036060376,0.9996394
The Sandwich Factory,0.00036555488,0.99963444
Waves Bar & Restaurant,0.0003694446,0.9996306
AllStar Sports Lounge,0.00037248828,0.99962753
Bombay Sweet Mahal,0.0003732329,0.99962676
Fan Tab,0.00037526665,0.9996247
The Port Mc Callum Lock Gate Cafe & Restaurant,0.00037776763,0.9996222
The Chaat Kade,0.00037793248,0.99962205
Panorama Restaurant,0.0003789727,0.99962103
Colombo Bistro,0.00037992763,0.9996201
Sukiya,0.00038063436,0.99961936
Oak Ray Flower Drum Restaurant,0.000382751,0.9996173
Ruhunu Foods,0.00038386215,0.99961615
Lan Tao Cafe & Fusion Restaurant,0.00038706957,0.9996129
Shandong the Chinese Kitchen,0.00039120918,0.9996088
668 Chinese Restaurant,0.00039179035,0.9996082
Nom Nom Asia,0.000393597,0.9996064
Dinemore,0.0003970044,0.999603
David s Dangerously Delicious Char Siu,0.00039992903,0.99960005
Ward 7,0.00040136153,0.9995986
Yue Chuan,0.0004020565,0.9995979
VOC Cafe,0.00040725654,0.9995927
Naniyori by Steam Boat,0.0004085822,0.9995914
A Minute by Tuk Tuk Colombo,0.0004094152,0.9995906
Street Burger,0.00041024407,0.99958974
Round Island,0.0004104817,0.9995895
Fire and Ice Pizzeria,0.00041250145,0.99958754
Revolution Colombo,0.00041308213,0.99958694
Cafe Rafaella,0.00041428488,0.9995857
Gandhi Lodge,0.0004164564,0.99958354
"Nihonbashi s Sushi Bar, Colombo",0.00041845968,0.9995816
Java Lounge,0.00042475975,0.9995752
Redsnapper Seafood Restaurant,0.00042555592,0.9995744
Halo Diner,0.00042965487,0.99957037
The Verandah,0.00043197066,0.99956805
Cafe Sociale,0.00043327792,0.99956673
Anu Bambu Restaurant,0.00044145086,0.99955857
Barefoot Garden Cafe,0.00044516608,0.9995548
Paradise Road Cafe,0.00044577735,0.9995542
The Manchester,0.0004470343,0.99955297
Kiku Colombo,0.0004486971,0.9995513
Side Walk Cafe,0.00045190015,0.9995481
Hotel Mayura Restaurant,0.00045680456,0.9995432
The Fat Crab,0.0004616608,0.9995383
Kandoori,0.0004636531,0.9995364
Crystal Jade,0.00046785362,0.99953216
Street Meet,0.00047984542,0.9995202
Tosakanth�S Rosat Paan,0.00048100544,0.999519
NR Bakers & Cafe,0.00048781093,0.9995122
Pizza Hut,0.0004886367,0.99951136
Ramen Misoya Colombo,0.0004912633,0.99950874
ON14 Rooftop Bar,0.00050431304,0.9994957
Royal Thai - Cinnamon Lakeside,0.00051542884,0.99948454
Stella Karaoke Lounge and Bar,0.0005332686,0.9994667
"Singhalease Sports Club - Restautant, Bar and Cafe",0.0005343571,0.99946564
The Food Station,0.00054207386,0.9994579
Michaelangelo Pizza,0.00054780237,0.99945223
The Brick Lane Cookie Company,0.0005633957,0.9994366
Taprobane,0.0005787598,0.99942124
Pure Kitchen,0.00058270874,0.9994173
Madras Masala,0.00058348797,0.9994165
Fountain Cafe,0.0005873093,0.99941266
88 Chinese Seafood House,0.0006328318,0.9993672
Mathura,0.0006369881,0.999363
Tides Restaurant,0.00065799186,0.999342
Saraswathie Lodge,0.0006730751,0.99932694
