Name,Location,Address,PRICE RANGE,CUISINES,SPECIAL DIETS,Meals,FEATURES,Link,Southern-Italian,Japanese Fusion,Korean,Indonesian,Middle Eastern,Central-Italian,Diner,Steakhouse,Pizza,Southwestern,Wine Bar,Cajun & Creole,Bar,Latin,Seafood,Scottish,Mexican,Singaporean,Central European,Spanish,Deli,Cafe,Barbecue,Gastropub,Italian,Mongolian,Vietnamese,Thai,International,French,Contemporary,Polynesian,German,Afghani,Street Food,Lebanese,Australian,Cuban,Pub,Soups,Fusion,Moroccan,Caribbean,Dining bars,Sushi,Sri Lankan,Portuguese,Malaysian,Asian,British,Mediterranean,Turkish,Healthy,Indian,Irish,Pakistani,Arabic,Sicilian,Japanese,African,Fast Food,Beer restaurants,Fujian,Chinese,European,American,Grill,Dog Friendly,Gift Cards Available,Serves Alcohol,Digital Payments,Accepts Credit Cards,Buffet,Accepts Mastercard,BYOB,Live Music,Family style,Table Service,Takeout,Wheelchair Accessible,Wine and Beer,Full Bar,Accepts Discover,Cash Only,Free off-street parking,Valet Parking,Private Dining,Delivery,Accepts Visa,Television,Highchairs Available,Validated Parking,Reservations,Jazz Bar,Non-smoking restaurants,Free Wifi,Accepts American Express,Street Parking,Beach,Parking Available,Outdoor Seating,Waterfront,Seating,Halal,Vegetarian Friendly,Kosher,Nonveg,Vegan Options,Gluten Free Options,Drinks,Late Night,Lunch,Breakfast,Brunch,Dinner,Budget,Low,Medium,High,cluster
Plus Nine Four,"35 D S Fonseka Road, Colombo 00500 Sri Lanka","D S Fonseka Road, Colombo 00500 ","[' 200 ', '  1,500']","Cafe, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Brunch","Takeout, Outdoor Seating, Seating, Table Service, Reservations",https://www.tripadvisor.com/Restaurant_Review-g293962-d14148973-Reviews-Plus_Nine_Four-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,Low,1,0,0,2
Ramen Misoya Colombo,"Reid Avenue Race Course Promenade, Colombo 00000 Sri Lanka","Reid Avenue Race Course Promenade, Colombo 00000 ","[' 989 ', '  3,956']","Japanese, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Takeout, Reservations, Parking Available, Free off-street parking, Accepts Credit Cards, Table Service, Seating",https://www.tripadvisor.com/Restaurant_Review-g293962-d13400791-Reviews-Ramen_Misoya_Colombo-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,Low,1,0,0,2
A Minute by Tuk Tuk Colombo,"No 9 Level 06, Sunset Terrace, One Galle Face, Colombo, Colombo 00100 Sri Lanka","unset Terrace, One Galle Face, Colombo, Colombo 00100 ","[' 200 ', '  2,000']","Bar, Asian, Sri Lankan, Contemporary, Fusion","Vegetarian Friendly, Vegan Options","Lunch, Dinner, Brunch, Late Night, Drinks","Reservations, Seating, Table Service, Serves Alcohol",https://www.tripadvisor.com/Restaurant_Review-g293962-d19436070-Reviews-A_Minute_by_Tuk_Tuk_Colombo-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,Low,1,0,0,2
Momo's by Ruvi,"664 Galle Main Road, Colombo 00300 Sri Lanka","Galle Main Road, Colombo 00300 ","[' 310 ', '  1,250']","Chinese, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Takeout, Seating, Wheelchair Accessible, Delivery, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d12332905-Reviews-Momo_s_by_Ruvi-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,Low,1,0,0,2
Culinary Ceylon,"Hospital Street, Colombo Sri Lanka","Hospital Street, Colombo ","[' 14,837 ', '  19,782']","Sri Lankan, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Dinner, Breakfast, Lunch","Reservations, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d16648228-Reviews-Culinary_Ceylon-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,Medium,0,1,0,2
The t-Lounge by Dilmah,"Shop #04, Arcade Independence Square, Colombo Sri Lanka","Arcade Independence Square, Colombo ","[' 1000 ', '  30 000']",Cafe,Vegetarian Friendly,"Breakfast, Lunch, Brunch","Takeout, Reservations, Seating, Free Wifi, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d7374797-Reviews-The_t_Lounge_by_Dilmah-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,Medium,0,1,0,2
Robata Grill and Lounge,"No. 24 Dharmapala Mawatha Movenpick Hotel Colombo, Colombo 00300 Sri Lanka","Dharmapala Mawatha Movenpick Hotel Colombo, Colombo 00300","[' 1,600 ', '  3,000']","Japanese, Seafood, Sushi, Asian, Chinese, Thai, Korean","Vegetarian Friendly, Vegan Options, Gluten Free Options","Dinner, Lunch","Reservations, Seating, Table Service, Serves Alcohol",https://www.tripadvisor.com/Restaurant_Review-g293962-d12933494-Reviews-Robata_Grill_and_Lounge-Colombo_Western_Province.html,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,Low,1,0,0,2
New Banana Leaf,"720 Galle Road, Colombo 00300 Sri Lanka","Galle Road, Colombo 00300","[' 1000 ', '  20 000']","Indian, Asian, Sri Lankan","Vegetarian Friendly, Vegan Options, Halal","Lunch, Dinner","Takeout, Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d7353046-Reviews-New_Banana_Leaf-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,Medium,0,1,0,2
The Cafe on the 5th,"5th Lane, Colombo Sri Lanka","5th Lane, Colombo ","[' 396 ', '  1,187']","Asian, Sri Lankan","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner, Late Night","Takeout, Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d811875-Reviews-The_Cafe_on_the_5th-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,Low,1,0,0,2
The t-Lounge on Chatham Street by Dilmah,"62/2 Chatham Street Dutch Square, Block B, Colombo 01000 Sri Lanka","Chatham Street Dutch Square, Block B, Colombo 01000","[' 989 ', '  1,978']",Cafe,Vegetarian Friendly,"Breakfast, Lunch, Brunch","Seating, Free Wifi, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d4789689-Reviews-The_t_Lounge_on_Chatham_Street_by_Dilmah-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,Low,1,0,0,2
